n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
85,-2.35877871513366680,-0.67938929796218872,-0.65648853778839112,9.85932243652343680,0.09935936889648436,-0.44412440795898432
86,-2.37404584884643560,-0.65648853778839112,-0.66412216424942016,9.85932243652343680,0.09696516723632812,-0.43454760131835936
87,-2.40458011627197280,-0.68702292442321776,-0.68702292442321776,9.85932243652343680,0.09457096557617186,-0.43215339965820312
88,-2.37404584884643560,-0.65648853778839112,-0.70229005813598632,9.86411083984375040,0.09696516723632812,-0.44292730712890624
89,-2.37404584884643560,-0.68702292442321776,-0.65648853778839112,9.85453403320312480,0.09457096557617186,-0.42975919799804688
90,-2.39694666862487800,-0.65648853778839112,-0.67938929796218872,9.85932243652343680,0.09217676391601562,-0.44053310546875000
91,-2.38167929649353040,-0.68702292442321776,-0.69465649127960208,9.85932243652343680,0.08978256225585938,-0.42736499633789064
92,-2.38167929649353040,-0.67938929796218872,-0.65648853778839112,9.86411083984375040,0.09457096557617186,-0.44412440795898432
93,-2.34351134300231920,-0.68702292442321776,-0.66412216424942016,9.86411083984375040,0.08978256225585938,-0.44412440795898432
94,-2.35877871513366680,-0.69465649127960208,-0.65648853778839112,9.85453403320312480,0.09816226806640624,-0.43454760131835936
95,-2.37404584884643560,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.09097966308593750,-0.43933600463867184
96,-2.37404584884643560,-0.67938929796218872,-0.66412216424942016,9.85453403320312480,0.09457096557617186,-0.43454760131835936
97,-2.37404584884643560,-0.66412216424942016,-0.66412216424942016,9.85932243652343680,0.08619125976562500,-0.43933600463867184
98,-2.36641216278076160,-0.65648853778839112,-0.64885497093200680,9.85932243652343680,0.08738836059570312,-0.43335050048828120
99,-2.38167929649353040,-0.67175573110580448,-0.65648853778839112,9.85453403320312480,0.09097966308593750,-0.43454760131835936
100,-2.35114502906799320,-0.65648853778839112,-0.65648853778839112,9.86411083984375040,0.09217676391601562,-0.44412440795898432
101,-2.38167929649353040,-0.68702292442321776,-0.62595421075820920,9.85453403320312480,0.09457096557617186,-0.42257659301757808
102,-2.37404584884643560,-0.66412216424942016,-0.68702292442321776,9.85932243652343680,0.09097966308593750,-0.44173020629882808
103,-2.39694666862487800,-0.69465649127960208,-0.68702292442321776,9.85932243652343680,0.08858546142578126,-0.43215339965820312
104,-2.37404584884643560,-0.65648853778839112,-0.66412216424942016,9.85932243652343680,0.09217676391601562,-0.43454760131835936
105,-2.34351134300231920,-0.67938929796218872,-0.67175573110580448,9.86411083984375040,0.09935936889648436,-0.44053310546875000
106,-2.32824420928955080,-0.68702292442321776,-0.66412216424942016,9.85932243652343680,0.09457096557617186,-0.42975919799804688
107,-2.37404584884643560,-0.65648853778839112,-0.65648853778839112,9.85932243652343680,0.09217676391601562,-0.44412440795898432
108,-2.36641216278076160,-0.68702292442321776,-0.67175573110580448,9.85932243652343680,0.09457096557617186,-0.43095629882812496
109,-2.35114502906799320,-0.66412216424942016,-0.65648853778839112,9.85932243652343680,0.09097966308593750,-0.44412440795898432
110,-2.37404584884643560,-0.67175573110580448,-0.67938929796218872,9.85932243652343680,0.09097966308593750,-0.43095629882812496
111,-2.35114502906799320,-0.66412216424942016,-0.65648853778839112,9.85932243652343680,0.09097966308593750,-0.43933600463867184
112,-2.37404584884643560,-0.67938929796218872,-0.65648853778839112,9.85932243652343680,0.09457096557617186,-0.43933600463867184
113,-2.34351134300231920,-0.68702292442321776,-0.69465649127960208,9.85932243652343680,0.08499415893554688,-0.43215339965820312
114,-2.38167929649353040,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.09097966308593750,-0.44412440795898432
115,-2.36641216278076160,-0.67175573110580448,-0.67938929796218872,9.85453403320312480,0.09097966308593750,-0.43574470214843744
116,-2.38167929649353040,-0.66412216424942016,-0.67938929796218872,9.85932243652343680,0.09097966308593750,-0.43095629882812496
117,-2.35114502906799320,-0.67938929796218872,-0.64885497093200680,9.85932243652343680,0.08978256225585938,-0.43335050048828120
118,-2.35114502906799320,-0.69465649127960208,-0.66412216424942016,9.85932243652343680,0.09337386474609374,-0.43454760131835936
119,-2.38931298255920400,-0.65648853778839112,-0.62595421075820920,9.85932243652343680,0.09217676391601562,-0.43694180297851560
120,-2.35877871513366680,-0.65648853778839112,-0.65648853778839112,9.86411083984375040,0.08738836059570312,-0.43454760131835936
121,-2.35114502906799320,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.09576806640625000,-0.43454760131835936
122,-2.35877871513366680,-0.68702292442321776,-0.67175573110580448,9.85932243652343680,0.09457096557617186,-0.44053310546875000
123,-2.35114502906799320,-0.70229005813598632,-0.65648853778839112,9.85453403320312480,0.09337386474609374,-0.42975919799804688
